date;commit;wc_total_chars;wc_total_lines;cloc_blank_lines;cloc_comments_lines;cloc_code_lines;cloc_total_lines;norm_pages;commit_msg;counted_files;skipped_files
2023-10-31 15:10:52 +0100;98a1459;70846;1767;273;132;1371;1776;39;initial commit;heat_battery/experiments/__init__.py, heat_battery/experiments/show_data.py, heat_battery/geometry/experiment.py, heat_battery/geometry/simple_setup.py, heat_battery/geometry/utilities.py, heat_battery/materials/__init__.py, heat_battery/materials/material_base.py, heat_battery/materials/materials.py, heat_battery/materials/materials_backup.py, heat_battery/optimization/__init__.py, heat_battery/optimization/optimization.py, heat_battery/optimization/optimizers.py, heat_battery/simulations/Experiment_sim.py, heat_battery/simulations/__init__.py, heat_battery/simulations/utilities/__init__.py, heat_battery/simulations/utilities/probing.py, tests/Experiment_1.py, tests/adjoint_test.py;.gitignore, heat_battery/__init__.py, heat_battery/geometry/__init__.py
2023-11-01 18:09:46 +0100;5e1b652;73384;1841;289;136;1425;1850;40;Tests added, refactoring package;heat_battery/data/__init__.py, heat_battery/data/show_data.py, heat_battery/geometry/experiment.py, heat_battery/geometry/simple_setup.py, heat_battery/geometry/utilities.py, heat_battery/materials/__init__.py, heat_battery/materials/material_base.py, heat_battery/materials/materials.py, heat_battery/materials/materials_backup.py, heat_battery/optimization/__init__.py, heat_battery/optimization/optimization.py, heat_battery/optimization/optimizers.py, heat_battery/simulations/Experiment_sim.py, heat_battery/simulations/__init__.py, heat_battery/simulations/utilities/__init__.py, heat_battery/simulations/utilities/probing.py, test/Experiment_1.py, test/Experiment_1_identifiability.py, test/adjoint_test.py, test/test.py, test/test_experiment_geometry.py;.gitignore, heat_battery/__init__.py, heat_battery/geometry/__init__.py, test/__init__.py
2023-11-02 17:28:44 +0100;15977b2;72849;1832;288;139;1414;1841;40;testing ADAM optimizer;heat_battery/data/__init__.py, heat_battery/data/show_data.py, heat_battery/geometry/experiment.py, heat_battery/geometry/simple_setup.py, heat_battery/geometry/utilities.py, heat_battery/materials/__init__.py, heat_battery/materials/material_base.py, heat_battery/materials/materials.py, heat_battery/materials/materials_backup.py, heat_battery/optimization/__init__.py, heat_battery/optimization/optimization.py, heat_battery/optimization/optimizers.py, heat_battery/simulations/Experiment_sim.py, heat_battery/simulations/__init__.py, heat_battery/simulations/utilities/__init__.py, heat_battery/simulations/utilities/probing.py, test/Experiment_1.py, test/Experiment_1_identifiability.py, test/adjoint_test.py, test/test.py, test/test_experiment_geometry.py;.gitignore, heat_battery/__init__.py, heat_battery/geometry/__init__.py, test/__init__.py
2023-11-03 14:11:31 +0100;704c140;69060;1765;272;137;1365;1774;38;Adding optimizers to optimization module, refactoring optimization;heat_battery/data/__init__.py, heat_battery/data/show_data.py, heat_battery/geometry/experiment.py, heat_battery/geometry/simple_setup.py, heat_battery/geometry/utilities.py, heat_battery/materials/__init__.py, heat_battery/materials/material_base.py, heat_battery/materials/materials.py, heat_battery/materials/materials_backup.py, heat_battery/optimization/__init__.py, heat_battery/optimization/optimization.py, heat_battery/optimization/optimizers.py, heat_battery/simulations/Experiment_sim.py, heat_battery/simulations/__init__.py, heat_battery/simulations/utilities/__init__.py, heat_battery/simulations/utilities/probing.py, test/Experiment_1.py, test/Experiment_1_identifiability.py, test/adjoint_test.py, test/test.py, test/test_experiment_geometry.py;.gitignore, heat_battery/__init__.py, heat_battery/geometry/__init__.py, test/__init__.py
2023-11-03 17:40:50 +0100;740bc32;79026;1966;308;74;1595;1977;43;Add contact resistance and test, resolving warnings;heat_battery/data/__init__.py, heat_battery/data/show_data.py, heat_battery/geometry/experiment.py, heat_battery/geometry/experiment_contact.py, heat_battery/geometry/simple_setup.py, heat_battery/geometry/utilities.py, heat_battery/materials/__init__.py, heat_battery/materials/material_base.py, heat_battery/materials/materials.py, heat_battery/materials/materials_backup.py, heat_battery/optimization/__init__.py, heat_battery/optimization/optimization.py, heat_battery/optimization/optimizers.py, heat_battery/simulations/Experiment_sim.py, heat_battery/simulations/__init__.py, heat_battery/simulations/utilities/__init__.py, heat_battery/simulations/utilities/probing.py, test/adjoint_test.py, test/test_001.py, test/test_002_experiment_geometry.py, test/test_003_steady_state_fitting.py, test/test_004_steady_state_fitting_contact.py;.gitignore, heat_battery/__init__.py, heat_battery/geometry/__init__.py, test/__init__.py
2023-11-05 21:49:49 +0100;598c47d;79703;1984;310;73;1612;1995;44;Refactor ploting of material property;heat_battery/data/__init__.py, heat_battery/data/show_data.py, heat_battery/geometry/experiment.py, heat_battery/geometry/experiment_contact.py, heat_battery/geometry/simple_setup.py, heat_battery/geometry/utilities.py, heat_battery/materials/__init__.py, heat_battery/materials/material_base.py, heat_battery/materials/materials.py, heat_battery/materials/materials_backup.py, heat_battery/optimization/__init__.py, heat_battery/optimization/optimization.py, heat_battery/optimization/optimizers.py, heat_battery/simulations/Experiment_sim.py, heat_battery/simulations/__init__.py, heat_battery/simulations/utilities/__init__.py, heat_battery/simulations/utilities/probing.py, test/adjoint_test.py, test/test_001.py, test/test_002_experiment_geometry.py, test/test_003_steady_state_fitting.py, test/test_004_steady_state_fitting_contact.py;.gitignore, heat_battery/__init__.py, heat_battery/geometry/__init__.py, test/__init__.py
2023-11-05 21:50:43 +0100;1213b23;79704;1984;310;73;1612;1995;44;Change default material property;heat_battery/data/__init__.py, heat_battery/data/show_data.py, heat_battery/geometry/experiment.py, heat_battery/geometry/experiment_contact.py, heat_battery/geometry/simple_setup.py, heat_battery/geometry/utilities.py, heat_battery/materials/__init__.py, heat_battery/materials/material_base.py, heat_battery/materials/materials.py, heat_battery/materials/materials_backup.py, heat_battery/optimization/__init__.py, heat_battery/optimization/optimization.py, heat_battery/optimization/optimizers.py, heat_battery/simulations/Experiment_sim.py, heat_battery/simulations/__init__.py, heat_battery/simulations/utilities/__init__.py, heat_battery/simulations/utilities/probing.py, test/adjoint_test.py, test/test_001.py, test/test_002_experiment_geometry.py, test/test_003_steady_state_fitting.py, test/test_004_steady_state_fitting_contact.py;.gitignore, heat_battery/__init__.py, heat_battery/geometry/__init__.py, test/__init__.py
2023-11-05 21:53:18 +0100;91a6c36;82651;2058;321;77;1673;2071;45;Adding subdomain temperature density evaluation, improving tests;heat_battery/data/__init__.py, heat_battery/data/show_data.py, heat_battery/geometry/experiment.py, heat_battery/geometry/experiment_contact.py, heat_battery/geometry/simple_setup.py, heat_battery/geometry/utilities.py, heat_battery/materials/__init__.py, heat_battery/materials/material_base.py, heat_battery/materials/materials.py, heat_battery/materials/materials_backup.py, heat_battery/optimization/__init__.py, heat_battery/optimization/optimization.py, heat_battery/optimization/optimizers.py, heat_battery/simulations/Experiment_sim.py, heat_battery/simulations/__init__.py, heat_battery/simulations/utilities/__init__.py, heat_battery/simulations/utilities/probing.py, test/adjoint_test.py, test/test_001.py, test/test_002_experiment_geometry.py, test/test_003_steady_state_fitting.py, test/test_004_steady_state_fitting_contact.py, test/test_005_cumulative_density.py, test/test_006_plot_k_property.py;.gitignore, heat_battery/__init__.py, heat_battery/geometry/__init__.py, test/__init__.py
2023-11-06 23:29:16 +0100;931acfd;86876;2192;358;81;1768;2207;48;Improving tests;heat_battery/data/__init__.py, heat_battery/data/show_data.py, heat_battery/geometry/dummy.py, heat_battery/geometry/experiment.py, heat_battery/geometry/experiment_contact.py, heat_battery/geometry/simple_setup.py, heat_battery/geometry/utilities.py, heat_battery/materials/__init__.py, heat_battery/materials/material_base.py, heat_battery/materials/materials.py, heat_battery/materials/materials_backup.py, heat_battery/optimization/__init__.py, heat_battery/optimization/optimization.py, heat_battery/optimization/optimizers.py, heat_battery/simulations/Experiment_sim.py, heat_battery/simulations/__init__.py, heat_battery/simulations/utilities/__init__.py, heat_battery/simulations/utilities/probing.py, test/adjoint_test.py, test/test_cumulative_density.py, test/test_discovery.py, test/test_experiment_geometry.py, test/test_materials.py, test/test_plot_k_property.py, test/test_steady_state_fitting.py, test/test_steady_state_fitting_contact.py, test/test_unsteady.py;.gitignore, heat_battery/__init__.py, heat_battery/geometry/__init__.py, test/__init__.py
2023-11-06 23:35:57 +0100;8b060cc;86968;2195;358;81;1771;2210;48;Upgrading dolfinx 0.6.0 -> 0.7.1;heat_battery/data/__init__.py, heat_battery/data/show_data.py, heat_battery/geometry/dummy.py, heat_battery/geometry/experiment.py, heat_battery/geometry/experiment_contact.py, heat_battery/geometry/simple_setup.py, heat_battery/geometry/utilities.py, heat_battery/materials/__init__.py, heat_battery/materials/material_base.py, heat_battery/materials/materials.py, heat_battery/materials/materials_backup.py, heat_battery/optimization/__init__.py, heat_battery/optimization/optimization.py, heat_battery/optimization/optimizers.py, heat_battery/simulations/Experiment_sim.py, heat_battery/simulations/__init__.py, heat_battery/simulations/utilities/__init__.py, heat_battery/simulations/utilities/probing.py, test/adjoint_test.py, test/test_cumulative_density.py, test/test_discovery.py, test/test_experiment_geometry.py, test/test_materials.py, test/test_plot_k_property.py, test/test_steady_state_fitting.py, test/test_steady_state_fitting_contact.py, test/test_unsteady.py;.gitignore, heat_battery/__init__.py, heat_battery/geometry/__init__.py, test/__init__.py
